,MATCH_TITLE,VENUE,LINK
38,"Gloucestershire vs Northamptonshire,", • ,https://www.cricbuzz.com/live-cricket-scores/113640/gloucs-vs-nhnts-51st-match-county-championship-division-two-2025
39,"Derbyshire vs Glamorgan,", • ,https://www.cricbuzz.com/live-cricket-scores/113649/derby-vs-glam-52nd-match-county-championship-division-two-2025
40,"India Women vs Australia Women,","at New Chandigarh, Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",https://www.cricbuzz.com/live-cricket-scores/119819/indw-vs-ausw-1st-odi-australia-women-tour-of-india-2025
41,"India Women vs Australia Women,","at New Chandigarh, Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",https://www.cricbuzz.com/live-cricket-scores/119825/indw-vs-ausw-2nd-odi-australia-women-tour-of-india-2025
42,"India Women vs Australia Women,","at Delhi, Arun Jaitley Stadium",https://www.cricbuzz.com/live-cricket-scores/119834/indw-vs-ausw-3rd-odi-australia-women-tour-of-india-2025
43,"TBC vs TBC,","at Suva, Albert Park 1",https://www.cricbuzz.com/live-cricket-scores/131856/tbc-vs-tbc-5th-place-play-off-icc-womens-t20-world-cup-east-asia-pacific-qualifier-2025
44,"TBC vs TBC,","at Suva, Albert Park 2",https://www.cricbuzz.com/live-cricket-scores/131867/tbc-vs-tbc-7th-place-play-off-icc-womens-t20-world-cup-east-asia-pacific-qualifier-2025
45,"TBC vs TBC,","at Suva, Albert Park 1",https://www.cricbuzz.com/live-cricket-scores/131873/tbc-vs-tbc-final-icc-womens-t20-world-cup-east-asia-pacific-qualifier-2025
46,"TBC vs TBC,","at Suva, Albert Park 2",https://www.cricbuzz.com/live-cricket-scores/131884/tbc-vs-tbc-3rd-place-play-off-icc-womens-t20-world-cup-east-asia-pacific-qualifier-2025
47,"Austria Women vs Switzerland Women,","at Walferdange, Pierre Werner Cricket Ground",https://www.cricbuzz.com/live-cricket-scores/133831/autw-vs-suiw-3rd-match-luxembourg-womens-t20i-tri-series-2025
48,"TBC vs TBC,","at Walferdange, Pierre Werner Cricket Ground",https://www.cricbuzz.com/live-cricket-scores/133836/tbc-vs-tbc-3rd-place-play-off-luxembourg-womens-t20i-tri-series-2025
49,"TBC vs TBC,","at Walferdange, Pierre Werner Cricket Ground",https://www.cricbuzz.com/live-cricket-scores/133847/tbc-vs-tbc-final-luxembourg-womens-t20i-tri-series-2025
50,"Pakistan Women vs South Africa Women,","at Lahore, Gaddafi Stadium",https://www.cricbuzz.com/live-cricket-scores/133688/pakw-vs-rsaw-1st-odi-south-africa-women-tour-of-pakistan-2025
51,"Pakistan Women vs South Africa Women,","at Lahore, Gaddafi Stadium",https://www.cricbuzz.com/live-cricket-scores/133693/pakw-vs-rsaw-2nd-odi-south-africa-women-tour-of-pakistan-2025
52,"Guyana Amazon Warriors Women vs Trinbago Knight Riders Women,","at Guyana, Providence Stadium",https://www.cricbuzz.com/live-cricket-scores/122115/gaww-vs-tkrw-4th-match-womens-caribbean-premier-league-2025
53,"Guyana Amazon Warriors Women vs Barbados Royals Women,","at Guyana, Providence Stadium",https://www.cricbuzz.com/live-cricket-scores/122126/gaww-vs-brw-5th-match-womens-caribbean-premier-league-2025
54,"Barbados Royals Women vs Trinbago Knight Riders Women,","at Guyana, Providence Stadium",https://www.cricbuzz.com/live-cricket-scores/122137/brw-vs-tkrw-6th-match-womens-caribbean-premier-league-2025
55,"TBC vs TBC,","at Guyana, Providence Stadium",https://www.cricbuzz.com/live-cricket-scores/122148/tbc-vs-tbc-final-womens-caribbean-premier-league-2025
