,MODEL_NAME,PRICE,RATING,REVIEW
36,DELL Vostro Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Lapt...,"₹46,990",4.1,466 Ratings 
37,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹22,990",4.1,750 Ratings 
38,Acer Aspire Lite AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,"₹40,990",4,341 Ratings 
39,Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Lap...,"₹49,890",4.1,"1,554 Ratings "
40,ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thi...,"₹48,848",4.2,"8,283 Ratings "
41,ASUS Vivobook 15 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2217WS Th...,"₹47,990",4.3,482 Ratings 
42,ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹48,990",4.3,"7,684 Ratings "
43,HP 15 G9 (2025) AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15 G9 Thin and Light ...,"₹42,611",3.9,118 Ratings 
44,Acer Aspire Intel Core i5 12th Gen 12450H - (12 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,"₹47,990",4.1,"1,137 Ratings "
45,"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Hom...","₹48,990",4.2,809 Ratings 
46,HP 15s AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0028AU Thin and Light Lapt...,"₹36,980",4.1,233 Ratings 
47,ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic* Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD...,"₹43,890",4.1,12 Ratings 
48,Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,"₹36,990",4.1,"1,899 Ratings "
49,ASUS VivoBook 14 AMD Ryzen 5 Quad Core AMD R5-3500U - (8 GB/512 GB SSD/Windows 10 Home) X412DA-EK501T ...,"₹46,899",4.3,"7,508 Ratings "
50,DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) OVN353025001RING1O Thin and ...,"₹40,490",3.8,58 Ratings 
