,DATE,TEAM-A,RESULT,TEAM-B
114,01-12-2024,Sociedad,2 - 0,Betis
115,23-11-2024,Valencia,4 - 2,Betis
116,10-11-2024,Betis,2 - 2,Celta
117,03-11-2024,Ath Bilbao,1 - 1,Betis
118,27-10-2024,Betis,1 - 0,Ath Madrid
119,19-10-2024,Osasuna,1 - 2,Betis
120,06-10-2024,Sevilla,1 - 0,Betis
121,29-09-2024,Betis,1 - 0,Espanol
122,26-09-2024,Las Palmas,1 - 1,Betis
123,23-09-2024,Betis,1 - 2,Mallorca
124,18-09-2024,Betis,2 - 1,Getafe
125,13-09-2024,Betis,2 - 0,Leganes
126,01-09-2024,Real Madrid,2 - 0,Betis
127,25-08-2024,Alaves,0 - 0,Betis
128,15-08-2024,Betis,1 - 1,Girona
129,24-05-2025,Getafe,1 - 2,Celta
130,18-05-2025,Celta,1 - 2,Vallecano
131,13-05-2025,Sociedad,0 - 1,Celta
132,04-05-2025,Real Madrid,3 - 2,Celta
133,12-04-2025,Celta,0 - 2,Espanol
134,05-04-2025,Mallorca,1 - 2,Celta
135,31-03-2025,Celta,1 - 1,Las Palmas
136,15-03-2025,Valladolid,0 - 1,Celta
137,08-03-2025,Celta,2 - 1,Leganes
138,01-03-2025,Girona,2 - 2,Celta
139,21-02-2025,Celta,1 - 0,Osasuna
140,15-02-2025,Ath Madrid,1 - 1,Celta
141,02-02-2025,Valencia,2 - 1,Celta
142,27-01-2025,Alaves,1 - 1,Celta
143,19-01-2025,Celta,1 - 2,Ath Bilbao
144,10-01-2025,Vallecano,2 - 1,Celta
145,21-12-2024,Celta,2 - 0,Sociedad
146,14-12-2024,Sevilla,1 - 0,Celta
147,06-12-2024,Celta,2 - 0,Mallorca
148,30-11-2024,Espanol,3 - 1,Celta
149,23-11-2024,Celta,2 - 2,FC Barcelona
150,10-11-2024,Betis,2 - 2,Celta
151,04-11-2024,Celta,1 - 0,Getafe
152,27-10-2024,Leganes,3 - 0,Celta
153,19-10-2024,Celta,1 - 2,Real Madrid
154,05-10-2024,Las Palmas,0 - 1,Celta
155,29-09-2024,Celta,1 - 1,Girona
156,26-09-2024,Celta,0 - 1,Ath Madrid
157,22-09-2024,Ath Bilbao,3 - 1,Celta
158,01-09-2024,Osasuna,3 - 2,Celta
159,16-08-2024,Celta,2 - 1,Alaves
160,24-05-2025,Espanol,2 - 0,Las Palmas
161,18-05-2025,Osasuna,2 - 0,Espanol
162,15-05-2025,Espanol,0 - 2,FC Barcelona
163,11-05-2025,Leganes,3 - 2,Espanol
164,04-05-2025,Espanol,1 - 2,Betis
165,27-04-2025,Villarreal,1 - 0,Espanol
166,22-04-2025,Valencia,1 - 1,Espanol
167,18-04-2025,Espanol,1 - 0,Getafe
168,12-04-2025,Celta,0 - 2,Espanol
169,29-03-2025,Espanol,1 - 1,Ath Madrid
170,15-03-2025,Mallorca,2 - 1,Espanol
